Id,MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice
36,60,13418,8,5,2004,2005,0,1117,1117,1132,1320,2452,0,3,1,4,1,9,1,3,691,113,32,0,0,0,0,0,9,2006,309000
37,20,10859,5,5,1994,1995,0,1097,1097,1097,0,1097,0,1,1,3,1,6,0,2,672,392,64,0,0,0,0,0,6,2009,145000
38,20,8532,5,6,1954,1990,1213,84,1297,1297,0,1297,0,1,0,3,1,5,1,2,498,0,0,0,0,0,0,0,10,2009,153000
39,20,7922,5,7,1953,2007,731,326,1057,1057,0,1057,1,1,0,3,1,5,0,1,246,0,52,0,0,0,0,0,1,2010,109000
40,90,6040,4,5,1955,1955,0,0,0,1152,0,1152,0,2,0,2,2,6,0,0,0,0,0,0,0,0,0,0,6,2008,82000
41,20,8658,6,5,1965,1965,643,445,1088,1324,0,1324,0,2,0,3,1,6,1,2,440,0,138,0,0,0,0,0,12,2006,160000
42,20,16905,5,6,1959,1959,967,383,1350,1328,0,1328,0,1,1,2,1,5,2,1,308,0,104,0,0,0,0,0,7,2007,170000
43,85,9180,5,7,1983,1983,747,0,840,884,0,884,1,1,0,2,1,5,0,2,504,240,0,0,0,0,0,0,12,2007,144000
44,20,9200,5,6,1975,1980,280,167,938,938,0,938,1,1,0,3,1,5,0,1,308,145,0,0,0,0,0,0,7,2008,130250
45,20,7945,5,6,1959,1959,179,465,1150,1150,0,1150,1,1,0,3,1,6,0,1,300,0,0,0,0,0,0,0,5,2006,141000
46,120,7658,9,5,2005,2005,456,1296,1752,1752,0,1752,1,2,0,2,1,6,1,2,576,196,82,0,0,0,0,0,2,2010,319900
47,50,12822,7,5,2003,2003,1351,83,1434,1518,631,2149,1,1,1,1,1,6,1,2,670,168,43,0,0,198,0,0,8,2009,239686
48,20,11096,8,5,2006,2006,24,1632,1656,1656,0,1656,0,2,0,3,1,7,0,3,826,0,146,0,0,0,0,0,7,2007,249700
49,190,4456,4,5,1920,2008,0,736,736,736,716,1452,0,2,0,2,3,8,0,0,0,0,0,102,0,0,0,0,6,2009,113000
50,20,7742,5,7,1966,1966,763,192,955,955,0,955,1,1,0,3,1,6,0,1,386,0,0,0,0,0,0,0,1,2007,127000
51,60,13869,6,6,1997,1997,182,612,794,794,676,1470,0,2,0,3,1,6,0,2,388,0,75,0,0,0,0,0,7,2007,177000
52,50,6240,6,6,1934,1950,0,816,816,816,0,1176,0,1,0,3,1,6,1,2,528,112,0,0,0,0,0,400,9,2006,114500
53,90,8472,5,5,1963,1963,104,0,816,816,0,816,1,1,0,2,1,5,0,2,516,106,0,0,0,0,0,0,5,2010,110000
54,20,50271,9,5,1981,1987,1810,32,1842,1842,0,1842,2,0,1,0,1,5,1,3,894,857,72,0,0,0,0,0,11,2006,385000
55,80,7134,5,5,1955,1955,384,0,384,1360,0,1360,0,1,0,3,1,6,1,2,572,0,50,0,0,0,0,0,2,2007,130000
56,20,10175,6,5,1964,1964,490,935,1425,1425,0,1425,0,2,0,3,1,7,1,2,576,0,0,0,407,0,0,0,7,2008,180500
57,160,2645,8,5,1999,2000,649,321,970,983,756,1739,1,2,1,3,1,7,0,2,480,115,0,0,0,0,0,0,8,2009,172500
58,60,11645,7,5,2004,2004,0,860,860,860,860,1720,0,2,1,3,1,7,0,2,565,0,70,0,0,0,0,0,8,2006,196500
59,60,13682,10,5,2006,2006,0,1410,1410,1426,1519,2945,0,3,1,3,1,10,1,3,641,192,0,37,0,0,0,0,10,2006,438780
60,20,7200,5,7,1972,1972,632,148,780,780,0,780,0,1,0,2,1,4,0,1,352,196,0,0,0,0,0,0,1,2008,124900
61,20,13072,6,5,2004,2004,941,217,1158,1158,0,1158,1,1,1,3,1,5,0,2,576,0,50,0,0,0,0,0,5,2006,158000
62,75,7200,5,7,1920,1996,0,530,530,581,530,1111,0,1,0,3,1,6,0,1,288,0,0,144,0,0,0,0,3,2007,101000
63,120,6442,8,5,2006,2006,24,1346,1370,1370,0,1370,0,2,0,2,1,6,1,2,484,120,49,0,0,0,0,0,10,2007,202500
64,70,10300,7,6,1921,1950,0,576,576,902,808,1710,0,2,0,3,1,9,0,2,480,12,11,64,0,0,0,0,4,2010,140000
65,60,9375,7,5,1997,1998,739,318,1057,1057,977,2034,1,2,1,3,1,8,0,2,645,576,36,0,0,0,0,0,2,2009,219500
66,60,9591,8,5,2004,2005,0,1143,1143,1143,1330,2473,0,2,1,4,1,9,1,3,852,192,151,0,0,0,0,0,10,2007,317000
67,20,19900,7,5,1970,1989,912,1035,1947,2207,0,2207,1,2,0,3,1,7,1,2,576,301,0,0,0,0,0,0,7,2010,180000
68,20,10665,7,5,2003,2003,1013,440,1453,1479,0,1479,1,2,0,3,1,7,0,2,558,144,29,0,0,0,0,0,6,2007,226000
69,30,4608,4,6,1945,1950,0,747,747,747,0,747,0,1,0,2,1,4,0,1,220,0,0,0,0,0,0,0,6,2010,80000
70,50,15593,7,4,1953,1953,603,701,1304,1304,983,2287,0,2,0,3,1,7,1,2,667,0,21,114,0,0,0,0,7,2006,225000
71,20,13651,7,6,1973,1973,1880,343,2223,2223,0,2223,1,2,0,3,1,8,2,2,516,300,0,0,0,0,0,0,2,2007,244000
72,20,7599,4,6,1982,2006,565,280,845,845,0,845,1,1,0,2,1,4,0,2,360,0,0,0,0,0,0,0,6,2007,129500
73,60,10141,7,5,1998,1998,0,832,832,885,833,1718,0,2,1,3,1,7,1,2,427,0,94,0,0,291,0,0,12,2009,185000
74,20,10200,5,7,1954,2003,320,404,1086,1086,0,1086,1,1,0,3,1,6,0,2,490,0,0,0,0,0,0,0,5,2010,144900
75,50,5790,3,6,1915,1950,0,840,840,840,765,1605,0,2,0,3,2,8,0,1,379,0,0,202,0,0,0,0,5,2010,107400
76,180,1596,4,5,1973,1973,462,0,462,526,462,988,1,1,0,2,1,5,0,1,297,120,101,0,0,0,0,0,11,2009,91000
77,20,8475,4,7,1956,1956,228,724,952,952,0,952,0,1,0,2,1,4,0,1,283,0,0,0,0,0,0,0,4,2008,135750
78,50,8635,5,5,1948,2001,336,295,672,1072,213,1285,1,1,0,2,1,6,0,1,240,0,0,0,0,0,0,0,1,2008,127000
79,90,10778,4,5,1968,1968,0,1768,1768,1768,0,1768,0,2,0,4,2,8,0,0,0,0,0,0,0,0,0,0,4,2010,136500
80,50,10440,5,6,1910,1981,0,440,440,682,548,1230,0,1,1,2,1,5,0,2,440,74,0,128,0,0,0,0,5,2009,110000
81,60,13000,6,6,1968,1968,448,448,896,1182,960,2142,0,2,1,4,1,8,1,1,509,0,72,0,0,252,0,0,6,2009,193500
82,120,4500,6,5,1998,1998,1201,36,1237,1337,0,1337,1,2,0,2,1,5,0,2,405,0,199,0,0,0,0,0,3,2006,153500
83,20,10206,8,5,2007,2007,33,1530,1563,1563,0,1563,0,2,0,3,1,6,1,3,758,144,99,0,0,0,0,0,10,2008,245000
84,20,8892,5,5,1960,1960,0,1065,1065,1065,0,1065,0,1,1,3,1,6,0,2,461,74,0,0,0,0,0,0,7,2007,126500
85,80,8530,7,5,1995,1996,0,384,384,804,670,1474,0,2,1,3,1,7,1,2,400,120,72,0,0,0,0,700,5,2009,168500
86,60,16059,8,5,1991,1992,0,1288,1288,1301,1116,2417,0,2,1,4,1,9,1,2,462,127,82,0,0,0,0,0,4,2006,260000
87,60,11911,6,5,2005,2005,0,684,684,684,876,1560,0,2,1,3,1,6,1,2,400,100,38,0,0,0,0,0,3,2009,174000
88,160,3951,6,5,2009,2009,0,612,612,612,612,1224,0,2,1,2,1,4,0,2,528,0,234,0,0,0,0,0,6,2009,164500
89,50,8470,3,2,1915,1982,0,1013,1013,1013,0,1526,0,1,0,2,1,6,0,0,0,0,0,156,0,0,0,0,10,2009,85000
90,20,8070,4,5,1994,1995,588,402,990,990,0,990,1,1,0,3,1,5,0,0,0,0,0,0,0,0,0,0,8,2007,123600
91,20,7200,4,5,1950,1950,0,0,0,1040,0,1040,0,1,0,2,1,4,0,2,420,0,29,0,0,0,0,0,7,2006,109900
92,20,8500,5,3,1961,1961,600,635,1235,1235,0,1235,0,1,0,2,1,6,0,2,480,0,0,0,0,0,0,0,12,2006,98600
93,30,13360,5,7,1921,2006,713,163,876,964,0,964,1,1,0,2,1,5,0,2,432,0,0,44,0,0,0,0,8,2009,163500
94,190,7200,6,6,1910,1998,1046,168,1214,1260,1031,2291,0,2,0,4,2,9,1,2,506,0,0,0,0,99,0,0,11,2007,133900
95,60,9337,6,5,1997,1997,648,176,824,905,881,1786,1,2,1,3,1,7,0,2,684,0,162,0,0,0,0,0,5,2007,204750
96,60,9765,6,8,1993,1993,310,370,680,680,790,1470,0,2,1,3,1,6,1,2,420,232,63,0,0,0,0,480,4,2009,185000
97,20,10264,7,5,1999,1999,1162,426,1588,1588,0,1588,0,2,0,3,1,6,0,2,472,158,29,0,0,0,0,0,8,2006,214000
98,20,10921,4,5,1965,1965,520,440,960,960,0,960,1,1,0,3,1,6,0,1,432,120,0,0,0,0,0,0,5,2007,94750
99,30,10625,5,5,1920,1950,108,350,458,835,0,835,0,1,0,2,1,5,0,1,366,0,0,77,0,0,0,400,5,2010,83000
100,20,9320,4,5,1959,1959,569,381,950,1225,0,1225,1,1,1,3,1,6,0,0,0,352,0,0,0,0,0,400,1,2010,128950
101,20,10603,6,7,1977,2001,1200,410,1610,1610,0,1610,1,2,0,3,1,6,2,2,480,168,68,0,0,0,0,0,2,2010,205000
102,60,9206,6,5,1985,1985,0,741,741,977,755,1732,0,2,1,3,1,7,1,2,476,192,46,0,0,0,0,0,6,2010,178000
103,90,7018,5,5,1979,1979,0,0,0,1535,0,1535,0,2,0,4,2,8,0,2,410,0,0,0,0,0,0,0,6,2009,118964
104,20,10402,7,5,2009,2009,0,1226,1226,1226,0,1226,0,2,0,3,1,6,0,3,740,0,36,0,0,0,0,0,5,2010,198900
105,50,7758,7,4,1931,1950,224,816,1040,1226,592,1818,0,1,1,4,1,7,2,1,240,0,0,0,0,184,0,0,6,2007,169500
106,60,9375,8,5,2003,2004,0,1053,1053,1053,939,1992,0,2,1,3,1,9,1,2,648,140,45,0,0,0,0,0,8,2008,250000
107,30,10800,4,7,1885,1995,0,641,641,1047,0,1047,0,1,0,2,1,6,0,1,273,0,0,0,0,0,0,450,8,2007,100000
108,20,6000,5,5,1948,1950,104,516,789,789,0,789,0,1,0,2,1,5,0,1,250,0,0,0,0,0,0,0,4,2008,115000
109,50,8500,5,7,1919,2005,0,793,793,997,520,1517,0,2,0,3,1,7,0,0,0,0,0,144,0,0,0,0,8,2007,115000
110,20,11751,6,6,1977,1977,705,1139,1844,1844,0,1844,0,2,0,3,1,7,1,2,546,0,122,0,0,0,0,0,1,2010,190000
111,50,9525,6,4,1954,1972,444,550,994,1216,639,1855,0,2,0,4,1,7,0,1,325,182,0,0,0,0,0,0,10,2006,136900
112,80,7750,7,5,2000,2000,250,134,384,774,656,1430,0,2,1,3,1,7,1,2,400,180,0,0,0,0,0,0,4,2010,180000
113,60,9965,7,5,2007,2007,984,280,1264,1282,1414,2696,1,2,1,4,1,10,1,3,792,120,184,0,0,168,0,0,10,2007,383970
114,20,21000,6,5,1953,1953,35,905,1809,2259,0,2259,1,2,0,3,1,7,2,2,450,166,120,192,0,0,0,0,10,2007,217000
115,70,7259,6,8,1945,2002,774,104,1028,1436,884,2320,1,2,1,3,1,9,1,1,180,224,0,0,0,0,0,0,7,2007,259500
116,160,3230,6,5,1999,1999,419,310,729,729,729,1458,0,2,1,2,1,5,1,2,440,0,32,0,0,0,0,0,6,2007,176000
117,20,11616,5,5,1962,1962,170,252,1092,1092,0,1092,0,1,0,3,1,6,1,1,288,0,20,144,0,0,0,0,9,2009,139000
118,20,8536,5,5,2006,2007,0,1125,1125,1125,0,1125,0,1,1,2,1,5,0,2,430,80,64,0,0,0,0,0,4,2007,155000
119,60,12376,7,5,1990,1990,1470,203,1673,1699,1523,3222,1,3,0,5,1,11,2,3,594,367,0,0,0,0,0,0,5,2010,320000
120,60,8461,6,5,2005,2006,0,728,728,728,728,1456,0,2,1,3,1,8,1,2,390,0,24,0,0,0,0,0,7,2006,163990
121,80,21453,6,5,1969,1969,938,0,938,988,0,988,1,1,0,1,1,4,2,2,540,0,130,0,130,0,0,0,10,2006,180000
122,50,6060,4,5,1939,1950,0,732,732,772,351,1123,0,1,0,3,1,4,0,1,264,0,0,140,0,0,0,0,6,2007,100000
123,20,9464,6,7,1958,1958,570,510,1080,1080,0,1080,0,1,0,3,1,5,0,1,288,0,0,0,0,130,0,0,6,2008,136000
124,120,7892,6,5,1993,1993,300,899,1199,1199,0,1199,0,2,0,2,1,5,0,2,530,0,63,0,0,0,0,0,3,2008,153900
125,20,17043,6,5,1979,1998,0,1362,1362,1586,0,1586,0,2,0,3,1,7,1,2,435,192,0,0,0,0,0,0,1,2009,181000
126,190,6780,6,8,1935,1982,490,30,520,520,0,754,1,1,0,2,1,5,0,0,0,53,0,0,0,0,0,0,6,2006,84500
127,120,4928,6,5,1976,1976,120,958,1078,958,0,958,0,2,0,2,1,5,1,2,440,0,205,0,0,0,0,0,2,2007,128000
128,45,4388,5,7,1930,1950,116,556,672,840,0,840,0,1,0,3,1,5,1,0,0,0,0,0,0,0,0,0,6,2007,87000
129,60,7590,6,5,1966,1966,512,148,660,660,688,1348,0,1,1,3,1,6,1,2,453,188,108,0,0,0,0,0,7,2006,155000
130,20,8973,5,7,1958,1991,567,413,1008,1053,0,1053,0,1,1,3,1,6,0,2,750,0,80,0,180,0,0,0,7,2006,150000
131,60,14200,7,6,1966,1966,445,479,924,1216,941,2157,0,2,1,4,1,8,2,2,487,105,66,0,0,0,0,0,5,2006,226000
132,60,12224,6,5,2000,2000,695,297,992,1022,1032,2054,1,2,1,3,1,7,1,2,390,24,48,0,0,0,0,0,7,2009,244000
133,20,7388,5,6,1959,2002,405,658,1063,1327,0,1327,1,1,0,3,1,7,0,2,624,0,0,0,0,0,0,0,7,2007,150750
134,20,6853,8,5,2001,2002,1005,262,1267,1296,0,1296,1,2,0,2,1,6,0,2,471,192,25,0,0,0,0,0,6,2009,220000
135,20,10335,5,6,1968,1993,570,891,1461,1721,0,1721,0,2,1,3,1,7,1,2,440,0,96,180,0,0,0,0,7,2006,180000
136,20,10400,7,6,1970,1970,0,1304,1304,1682,0,1682,0,2,0,3,1,7,1,2,530,98,0,0,0,0,0,0,5,2008,174000
137,20,10355,5,5,1967,1967,695,519,1214,1214,0,1214,0,2,0,3,1,5,1,1,318,0,111,0,0,0,0,0,7,2007,143000
138,90,11070,7,5,1988,1989,0,1907,1907,1959,0,1959,0,3,0,5,2,9,0,3,766,0,0,0,0,0,0,0,7,2006,171000
139,60,9066,8,5,1999,2000,668,336,1004,1004,848,1852,0,2,1,3,1,7,2,3,660,224,106,0,0,0,0,0,12,2008,230000
140,60,15426,6,5,1997,1997,821,107,928,928,836,1764,1,2,1,3,1,7,0,2,470,276,99,0,0,0,0,0,8,2009,231500
141,20,10500,4,5,1971,1971,432,432,864,864,0,864,0,1,0,3,1,5,1,0,0,0,0,0,0,0,0,0,4,2010,115000
142,20,11645,7,5,2005,2005,1300,434,1734,1734,0,1734,1,2,0,3,1,7,0,2,660,160,24,0,0,0,0,0,1,2006,260000
143,50,8520,5,4,1952,1952,507,403,910,910,475,1385,0,2,0,4,1,6,0,2,720,0,0,0,0,0,0,0,6,2010,166000
144,20,10335,7,5,1999,1999,679,811,1490,1501,0,1501,1,2,0,3,1,6,0,2,577,144,29,0,0,0,0,0,6,2009,204000
145,90,9100,5,5,1963,1963,1332,396,1728,1728,0,1728,1,2,0,6,2,10,0,2,504,0,0,0,0,0,0,0,11,2006,125000
146,160,2522,6,5,2004,2006,0,970,970,970,739,1709,0,2,0,3,1,7,0,2,380,0,40,0,0,0,0,0,4,2006,130000
147,30,6120,5,7,1931,1993,209,506,715,875,0,875,1,1,0,2,1,5,0,1,180,48,0,0,0,0,0,0,11,2009,105000
148,60,9505,7,5,2001,2001,0,884,884,884,1151,2035,0,2,1,3,1,8,1,2,434,144,48,0,0,0,0,0,5,2010,222500
149,20,7500,7,5,2004,2005,680,400,1080,1080,0,1080,1,1,0,3,1,6,0,0,0,0,0,0,0,0,0,0,4,2008,141000
150,50,6240,5,4,1936,1950,0,896,896,896,448,1344,0,1,0,3,1,7,0,1,240,200,114,0,0,0,0,0,4,2006,115000
151,20,10356,5,6,1975,1975,716,253,969,969,0,969,0,1,1,3,1,5,0,2,440,0,0,0,0,0,0,0,1,2007,122000
152,20,13891,8,5,2007,2008,1400,310,1710,1710,0,1710,1,2,0,2,1,6,1,3,866,0,102,0,0,0,0,0,1,2008,372402
153,60,14803,6,5,1971,1971,416,409,825,1097,896,1993,0,2,1,4,1,8,1,2,495,0,66,0,0,0,0,0,6,2006,190000
154,20,13500,6,7,1960,1975,429,93,1602,1252,0,1252,1,1,0,1,1,4,1,2,564,409,0,0,0,0,0,0,3,2008,235000
155,30,11340,6,5,1923,1950,0,1200,1200,1200,0,1200,0,1,0,4,1,7,0,1,312,0,0,228,0,0,0,0,3,2006,125000
156,50,9600,6,5,1924,1950,0,572,572,572,524,1096,0,1,0,2,1,5,0,0,0,0,8,128,0,0,0,0,4,2008,79000
157,20,7200,5,7,1950,1950,0,0,0,1040,0,1040,0,1,0,2,1,5,0,2,625,0,0,0,0,0,0,0,6,2006,109500
158,60,12003,8,5,2009,2010,0,774,774,774,1194,1968,0,2,1,4,1,8,1,3,680,0,75,0,0,0,0,0,5,2010,269500
159,60,12552,7,5,2004,2005,222,769,991,991,956,1947,0,2,1,3,1,8,1,2,678,0,136,0,0,0,0,0,5,2010,254900
160,60,19378,7,5,2005,2006,57,1335,1392,1392,1070,2462,1,2,1,4,1,9,1,2,576,239,132,0,168,0,0,0,3,2006,320000
161,20,11120,6,6,1984,1984,660,572,1232,1232,0,1232,0,2,0,3,1,6,0,2,516,0,0,0,0,0,0,0,6,2008,162500
162,60,13688,9,5,2003,2004,1016,556,1572,1572,1096,2668,1,2,1,3,1,10,2,3,726,400,0,0,0,0,0,0,3,2008,412500
163,20,12182,7,5,2005,2005,1201,340,1541,1541,0,1541,0,2,0,3,1,7,1,2,532,0,70,0,0,0,0,0,5,2010,220000
164,45,5500,4,6,1956,1956,0,882,882,882,0,882,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,4,2007,103200
165,40,5400,6,7,1926,2004,370,779,1149,1149,467,1616,0,2,0,3,1,5,0,1,216,0,0,183,0,0,0,0,10,2007,152000
166,190,10106,5,7,1940,1999,351,112,644,808,547,1355,1,2,0,4,2,6,0,0,0,140,0,0,0,0,0,0,9,2008,127500
167,20,10708,5,5,1955,1993,379,470,1617,1867,0,1867,1,1,0,2,1,7,3,1,303,476,0,0,0,142,0,0,11,2009,190000
168,60,10562,8,5,2007,2007,1288,294,1582,1610,551,2161,1,1,1,3,1,8,1,3,789,178,120,0,0,0,0,0,11,2007,325624
169,60,8244,7,5,2004,2004,0,840,840,840,880,1720,0,2,1,3,1,7,1,2,440,100,48,0,0,0,0,0,5,2007,183500
170,20,16669,8,6,1981,1981,0,1686,1686,1707,0,1707,0,2,1,2,1,6,1,2,511,574,64,0,0,0,0,0,1,2006,228000
171,50,12358,5,6,1941,1950,360,360,720,854,0,1382,0,1,1,2,1,7,0,2,660,237,0,0,0,0,0,0,5,2007,128500
172,20,31770,6,5,1960,1960,639,441,1080,1656,0,1656,1,1,0,3,1,7,2,2,528,210,62,0,0,0,0,0,5,2010,215000
173,160,5306,7,7,1987,1987,495,354,1064,1064,703,1767,1,2,0,2,1,5,1,2,504,441,35,0,0,0,0,0,6,2006,239000
174,20,10197,6,5,1961,1961,288,700,1362,1362,0,1362,1,1,1,3,1,6,1,2,504,0,20,0,0,0,0,0,6,2008,163000
175,20,12416,6,5,1986,1986,1398,0,1606,1651,0,1651,1,2,0,3,1,7,1,2,616,192,0,0,0,0,0,0,11,2008,184000
176,20,12615,6,7,1950,2001,477,725,1202,2158,0,2158,1,2,0,4,1,7,1,2,576,0,29,39,0,0,0,0,6,2007,243000
177,60,10029,6,5,1988,1989,831,320,1151,1164,896,2060,0,2,1,4,1,8,1,2,521,0,228,0,0,192,0,0,9,2007,211000
178,50,13650,5,5,1958,1958,57,554,1052,1252,668,1920,1,2,0,4,1,8,1,2,451,0,0,0,0,0,0,0,7,2006,172500
179,20,17423,9,5,2008,2009,1904,312,2216,2234,0,2234,1,2,0,1,1,9,1,3,1166,0,60,0,0,0,0,0,7,2009,501837
180,30,8520,5,6,1923,2006,0,968,968,968,0,968,0,1,0,2,1,5,0,2,480,0,0,184,0,0,0,0,7,2007,100000
181,160,2117,6,5,2000,2000,436,320,756,769,756,1525,0,2,1,3,1,5,1,2,440,0,0,0,0,0,0,0,6,2007,177000
182,70,7588,7,6,1920,1950,352,441,793,901,901,1802,0,1,1,4,1,9,1,1,216,0,0,40,0,0,0,0,7,2006,200100
183,20,9060,5,6,1957,2006,0,0,0,1340,0,1340,0,1,0,3,1,7,1,1,252,116,0,0,180,0,0,0,6,2007,120000
184,50,11426,7,5,2003,2003,0,1362,1362,1362,720,2082,0,2,1,3,1,6,0,2,484,280,238,0,0,0,0,0,6,2008,200000
185,50,7438,5,8,1908,1991,0,504,504,936,316,1252,0,1,0,3,1,5,0,2,576,104,0,0,0,0,0,0,6,2006,127000
186,75,22950,10,9,1892,1993,0,1107,1107,1518,1518,3608,0,2,1,4,1,12,2,3,840,0,260,0,0,410,0,0,6,2006,475000
187,80,9947,7,5,1990,1991,611,577,1188,1217,0,1217,1,2,0,3,1,6,0,2,497,168,27,0,0,0,0,0,6,2009,173000
188,50,10410,5,7,1916,1987,0,660,660,808,704,1656,0,2,1,3,1,8,0,1,180,0,0,0,140,0,0,0,8,2009,135000
189,90,7018,5,5,1979,1979,1086,0,1086,1224,0,1224,2,0,2,2,2,6,2,2,528,120,0,0,0,0,0,0,6,2009,153337
